course_id,date,discipline,hippodrome,partants,numcourse,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,a2,a3,a4,a5,rapport,r_b1,r_b2,top3,top4,top3_1,top3_2,top4_1,top4_2,a1_imp,a2_imp,a1_inf9,a2_inf9,cplg_top3,cplg_top4,top3_1_top4,top3_2_top4,top3_3_top4,siprono1<9-A1<9,siprono2<9-A1<9,siprono3<9-A1<9,siprono1<9-A2<9,siprono2<9-A2<9,siprono3<9-A2<9,Siprono1>8-A1>8,siprono2>8-A1>8,siprono3>8-A1>8,siprono1>8-A2>8,siprono2>8-A2>8,siprono3>8-A2>8
25/09/22_Vincennes_C4,25/09/22,trot,Vincennes,16,C4,2850,13,14,11,3,2,12,4,16,2,6,9,4,1,12.0,1,0,"[13,14,11]","[3,2,12,4]",0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/09/22_Lyon_C4,26/09/22,trot,Lyon,16,C4,2850,14,16,5,12,2,7,10,11,10,9,16,11,8,10.0,1,0,"[14,16,5]","[12,2,7,10]",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
27/09/22_Compiegne_C1,27/09/22,galop,Compiegne,16,C1,3800,1,3,9,2,10,5,8,6,3,16,10,5,8,5.2,1,0,"[1,3,9]","[2,10,5,8]",1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
28/09/22_Vire_C1,28/09/22,trot,Vire,16,C1,3475,11,5,13,14,12,3,16,9,11,5,3,13,14,1.3,1,1,"[11,5,13]","[14,12,3,16]",1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
29/09/22_Chantilly_C2,29/09/22,galop,Chantilly,16,C2,1600,10,15,7,13,2,11,16,3,11,7,16,12,6,8.9,1,1,"[10,15,7]","[13,2,11,16]",0,1,1,0,1,1,0,1,1,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0
30/09/22_Vincennes_C3,30/09/22,trot,Vincennes,16,C3,2850,11,9,12,14,5,15,16,3,14,11,12,5,15,6.3,1,1,"[11,9,12]","[14,5,15,16]",0,1,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1
01/10/22_Longchamp_C4,01/10/22,galop,Longchamp,18,C4,2500,4,18,15,6,1,11,3,10,15,4,17,11,18,7.9,1,1,"[4,18,15]","[6,1,11,3]",1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
02/10/22_Longchamps_C4,02/10/22,galop,Longchamps,20,C4,2400,20,14,15,2,17,16,18,1,14,15,2,16,13,4.3,1,1,"[20,14,15]","[2,17,16,18]",1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
03/10/22_Enghien_C1,03/10/22,trot,Enghien,15,C1,2150,2,5,7,1,12,14,3,9,1,2,9,5,12,13.0,1,1,"[2,5,7]","[1,12,14,3]",0,1,1,0,1,0,1,1,1,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0
04/10/22_Auteuil_C1,04/10/22,galop,Auteuil,16,C1,3600,7,1,2,3,16,6,15,14,13,2,4,15,3,13.8,0,1,"[7,1,2]","[3,16,6,15]",0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
05/10/22_Laval_C1,05/10/22,trot,Laval,16,C1,2850,14,12,1,2,5,13,11,4,14,1,4,5,6,2.2,1,1,"[14,12,1]","[2,5,13,11]",1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
06/10/22_SaintCloud_C1,06/10/22,galop,SaintCloud,16,C1,2000,6,14,1,4,7,9,10,3,16,8,5,4,13,11.0,0,0,"[6,14,1]","[4,7,9,10]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
07/10/22_Vincennes_C3,07/10/22,trot,Vincennes,14,C3,2700,11,14,10,1,7,12,5,8,1,12,14,5,11,6.7,1,1,"[11,14,10]","[1,7,12,5]",0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
08/10/22_Caen_C3,08/10/22,trot,Caen,16,C3,2450,3,6,2,13,7,8,1,10,2,3,6,7,1,5.2,1,1,"[3,6,2]","[13,7,8,1]",1,1,0,0,0,1,1,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
09/10/22_Auteuil_C3,09/10/22,galop,Auteuil,18,C3,3700,14,8,4,13,10,1,15,11,14,18,8,4,10,5.7,1,0,"[14,8,4]","[13,10,1,15]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10/10/22_Enghien_C1,10/10/22,trot,Enghien,16,C1,2875,6,16,9,8,12,10,15,1,9,6,13,5,10,5.2,1,1,"[6,16,9]","[8,12,10,15]",1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
11/10/22_SaintCloud_C1,11/10/22,galop,SaintCloud,16,C1,2400,3,4,8,6,1,7,15,9,6,9,15,8,16,7.5,1,1,"[3,4,8]","[6,1,7,15]",0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
12/10/22_Enghien_C1,12/10/22,trot,Enghien,16,C1,2875,14,16,8,9,15,1,6,5,14,6,1,8,5,3.3,1,1,"[14,16,8]","[9,15,1,6]",1,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
13/10/22_Longchamps_C1,13/10/22,galop,Longchamps,16,C1,1950,7,14,2,9,16,4,15,10,2,16,3,10,14,8.5,1,1,"[7,14,2]","[9,16,4,15]",1,0,0,1,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0
14/10/22_Vincennes_C4,14/10/22,trot,Vincennes,17,C4,2100,9,4,11,13,6,7,5,8,13,9,17,1,4,9.3,1,1,"[9,4,11]","[13,6,7,5]",0,1,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1
15/10/22_Auteuil_C4,15/10/22,galop,Auteuil,16,C4,3900,1,11,14,5,16,9,7,2,12,11,14,16,3,22.0,0,1,"[1,11,14]","[5,16,9,7]",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
16/10/22_Longchamps_C4,16/10/22,galop,Longchamps,14,C4,1600,2,1,11,3,6,8,9,5,2,14,7,8,3,6.5,1,0,"[2,1,11]","[3,6,8,9]",1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
17/10/22_Clairefontaine_C1,17/10/22,galop,Clairefontaine,16,C1,2400,3,15,11,14,1,6,10,8,1,8,5,13,4,12.0,1,1,"[3,15,11]","[14,1,6,10]",0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18/10/22_Vincennes_C1,18/10/22,trot,Vincennes,16,C1,2100,13,6,1,8,4,2,3,5,6,4,2,11,1,6.4,1,1,"[13,6,1]","[8,4,2,3]",1,0,0,1,0,0,1,1,1,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0
19/10/22_Fleurs_C1,19/10/22,trot,Fleurs,14,C1,2850,12,4,14,13,7,9,1,3,13,11,7,3,2,18.0,1,0,"[12,4,14]","[13,7,9,1]",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
20/10/22_Deauville_C4,20/10/22,galop,Deauville,14,C4,1200,7,8,1,3,10,4,6,9,14,11,7,13,10,30.0,0,0,"[7,8,1]","[3,10,4,6]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/10/22_Vincennes_C3,21/10/22,trot,Vincennes,16,C3,2850,3,7,2,1,11,4,14,5,3,7,1,2,4,2.1,1,1,"[3,7,2]","[1,11,4,14]",1,1,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
